EPS,MSE,T
0.384,0.60040367,0.380420392
0.3845,0.600845321,0.379949575
0.385,0.601286658,0.379478758
0.3855,0.60172768,0.37900794
0.386,0.602168388,0.378537123
0.3865,0.602608784,0.378066306
0.387,0.603048853,0.377124671
0.3875,0.603488601,0.376653854
0.388,0.603928037,0.376183037
0.3885,0.604367163,0.375712219
0.389,0.604805978,0.375241402
0.3895,0.605244482,0.374770585
0.39,0.605682677,0.374299767
0.3905,0.606120563,0.37382895
0.391,0.606558141,0.373358133
0.3915,0.60699541,0.372887315
0.392,0.607432371,0.372416498
0.3925,0.607869026,0.371945681
0.393,0.608305373,0.371474863
0.3935,0.608741409,0.370533229
0.394,0.609177127,0.370062411
0.3945,0.60961254,0.369591594
0.395,0.610047648,0.369120777
0.3955,0.610482452,0.368649959
0.396,0.610916953,0.368179142
0.3965,0.611351151,0.367708325
0.397,0.611785046,0.367237508
0.3975,0.612218638,0.36676669
0.398,0.61265193,0.366295873
0.3985,0.61308492,0.365825056
0.399,0.613517609,0.365354238
0.3995,0.613949998,0.364883421
0.4,0.614382087,0.364412604
0.4005,0.614813877,0.363941786
0.401,0.615245369,0.363470969
0.4015,0.615676561,0.363000152
0.402,0.616107456,0.362529334
0.4025,0.616538054,0.362058517
0.403,0.616968345,0.361116882
0.4035,0.617398338,0.360646065
0.404,0.617828035,0.360175248
0.4045,0.618257437,0.35970443
0.405,0.618686545,0.359233613
0.4055,0.619115358,0.358762796
0.406,0.619543878,0.358291979
0.4065,0.619972104,0.357821161
0.407,0.620400038,0.357350344
0.4075,0.620827679,0.356879527
0.408,0.621255028,0.356408709
0.4085,0.621682086,0.355937892
0.409,0.622108853,0.355467075
0.4095,0.622535329,0.354996257
0.41,0.622961516,0.35452544
0.4105,0.623387413,0.354054623
0.411,0.623813021,0.353583805
0.4115,0.62423834,0.353112988
0.412,0.624663372,0.352642171
0.4125,0.625088115,0.352171353
0.413,0.625512572,0.351700536
0.4135,0.625936742,0.351229719
0.414,0.626360625,0.350758901
0.4145,0.626784223,0.350288084
0.415,0.627207536,0.349817267
0.4155,0.627630563,0.349346449
0.416,0.628053307,0.348875632
0.4165,0.628475766,0.348404815
0.417,0.628897942,0.347933998
0.4175,0.629319835,0.34746318
0.418,0.629741446,0.346992363
0.4185,0.630162775,0.346521546
0.419,0.630583822,0.346050728
0.4195,0.631004588,0.345579911
0.42,0.631425074,0.345109094
0.4205,0.631845279,0.344638276
0.421,0.632265205,0.344167459
0.4215,0.632684851,0.343696642
0.422,0.633104219,0.343225824
