EPS	MSE
0.5715	0.747733916
0.572	0.748086145
0.5725	0.748438172
0.573	0.748790042
0.5735	0.749141755
0.574	0.749493249
0.5745	0.749844561
0.575	0.750195717
0.5755	0.750546717
0.576	0.750897479
0.5765	0.751248079
0.577	0.751598525
0.5775	0.751948799
0.578	0.752298847
0.5785	0.752648742
0.579	0.752998483
0.5795	0.753348026
0.58	0.753697371
0.5805	0.754046563
0.581	0.754395604
0.5815	0.754744418
0.582	0.755093064
0.5825	0.755441559
0.583	0.755789887
0.5835	0.756137989
0.584	0.756485942
0.5845	0.756833744
0.585	0.757181345
0.5855	0.757528756
0.586	0.757876019
0.5865	0.758223134
0.587	0.758570007
0.5875	0.758916732
0.588	0.75926331
0.5885	0.7596097
0.589	0.75995589
0.5895	0.760301933
0.59	0.760647831
0.5905	0.760993497
0.591	0.761339008
0.5915	0.761684374
0.592	0.762029557
0.5925	0.762374538
0.593	0.762719375
0.5935	0.763064069
0.594	0.763408529
0.5945	0.76375284
0.595	0.764097008
0.5955	0.764440987
0.596	0.764784772
0.5965	0.765128416
0.597	0.765471915
0.5975	0.765815178
0.598	0.7661583
0.5985	0.766501283
0.599	0.766844062
0.5995	0.767186665
0.6	0.767529129
0.6005	0.767871428
0.601	0.768213514
0.6015	0.768555462
0.602	0.768897272
0.6025	0.769238853
0.603	0.769580287
0.6035	0.769921584
0.604	0.770262687
0.6045	0.770603609
0.605	0.770944395
0.6055	0.771285021
0.606	0.771625433
0.6065	0.77196571
0.607	0.772305853
0.6075	0.772645764
0.608	0.772985535
0.6085	0.773325172
0.609	0.773664607
0.6095	0.774003873
0.61	0.774343007
0.6105	0.774681966
0.611	0.77502073
0.6115	0.775359363
0.612	0.775697846
0.6125	0.77603611
0.613	0.776374244
0.6135	0.776712247
0.614	0.777050019
0.6145	0.777387656
0.615	0.777725164
0.6155	0.778062462
0.616	0.778399604
0.6165	0.778736617
0.617	0.779073442
0.6175	0.779410091
0.618	0.779746614
0.6185	0.780082965
0.619	0.780419125
0.6195	0.780755157
0.62	0.781091037
0.6205	0.781426708
0.621	0.781762253
0.6215	0.782097661
0.622	0.782432846
0.6225	0.782767906
0.623	0.783102842
0.6235	0.783437543
0.624	0.783772121
0.6245	0.784106576
0.625	0.784440805
0.6255	0.784774902
0.626	0.785108877
0.6265	0.785442637
0.627	0.785776255
0.6275	0.786109753
0.628	0.786443043
0.6285	0.786776185
0.629	0.787109206
0.6295	0.787442028
0.63	0.787774695
0.6305	0.788107244
0.631	0.788439596
0.6315	0.788771792
0.632	0.789103869
0.6325	0.789435754
0.633	0.789767479
0.6335	0.790099087
0.634	0.790430505
0.6345	0.790761762
0.635	0.791092904
0.6355	0.791423854
0.636	0.791754646
0.6365	0.792085322
0.637	0.792415806
0.6375	0.792746134
0.638	0.793076348
0.6385	0.793406366
0.639	0.793736233
0.6395	0.794065987
0.64	0.794395539
0.6405	0.794724946
0.641	0.795054242
0.6415	0.795383329
0.642	0.79571228
0.6425	0.796041119
0.643	0.796369741
0.6435	0.796698237
0.644	0.797026622
0.6445	0.797354781
0.645	0.797682824
0.6455	0.79801075
0.646	0.798338452
0.6465	0.798666044
0.647	0.798993508
0.6475	0.79932076
0.648	0.799647904
0.6485	0.799974904
0.649	0.800301709
0.6495	0.800628407
0.65	0.800954945
0.6505	0.801281305
0.651	0.801607558
0.6515	0.801933635
0.652	0.802259551
0.6525	0.802585362
0.653	0.802910978
0.6535	0.803236453
0.654	0.803561824
0.6545	0.803886979
0.655	0.804212015
0.6555	0.80453694
0.656	0.804861643
0.6565	0.805186243
0.657	0.805510708
0.6575	0.805834975
0.658	0.806159141
0.6585	0.806483146
0.659	0.80680698
0.6595	0.807130713
0.66	0.807454259
0.6605	0.807777662
0.661	0.808100964
0.6615	0.808424052
0.662	0.808747026
0.6625	0.809069885
0.663	0.80939253
0.6635	0.809715077
0.664	0.810037478
